Unnamed: 0,ID,Prix,Condition,RAM,Stockage,Marque,Couleur,Taille écran,Résolution
,v1|387718017437|0,250.0,Occasion,32Go,1 To,Dell,Noir,17.3,1920 * 1080
,v1|126785786202|0,70.58,Neuf,2 Go,16 Go,KLIPAD,Gris,"10,1""",1280 x 800
,v1|226499619874|0,85.0,Occasion,8 Go,128 Go,Dell,Noir,"14,1""",1366 x 768
,v1|296880856795|0,665.0,Neuf,16 Go,512 Go,Dell,Gris,"14""",1920 x 1080
,v1|116392516015|0,160.0,Occasion,4 Go,256 Go,Dell,Gris,"13,3""",1920 x 1080
,v1|365285359573|0,199.99,Occasion,8 Go,256 Go,ASUS,Royal Blue,"13,3""",1920 x 1080
,v1|276780481098|0,400.0,Occasion,512 Go,512 Go,ASUS,Noir,"14""",1920 x 1080
,v1|335732434998|0,700.0,Occasion,8Go,512 Go,Apple,Doré,"13""",2560x1600
,v1|116419039017|0,225.0,Occasion,12 Go,1 To,HP,Gris,"17""",1600 x 900
,v1|176738106689|0,49.0,Occasion,4 Go,160 Go,Toshiba,Blanc,"15,6""",1366 x 768
,v1|387691637890|0,199.0,Occasion,8 Go,256 Go,Apple,Argenté,"13""",1280 x 800
,v1|256684591466|0,130.0,Occasion,8 Go,500 Go,Dell,Gris,"14,1""",1280 x 800
,v1|365286926846|0,300.0,Occasion,8 Go,1 To,Huawei,Gris,"13,3""",2160 x 1440
,v1|186844480154|0,229.99,Occasion,8 Go,5 Go,HP,Argenté,"14""",1920 x 1080
,v1|116421215250|0,255.0,Occasion,16 Go,256 Go,dell précision,Gris,"15,6""",1920 x 1080
,v1|365056993606|0,260.0,Occasion,8 Go,256 Go,HP,Argenté,"12,3""",1920 x 1080
,v1|305229521439|0,289.0,Occasion,16 Go,256 Go,Toshiba,Argenté,"13,3""",1920 x 1080
,v1|267087642772|0,140.0,Occasion,128 Mo,,HP,Anthracite,"13,1""",1024 x 768
,v1|356179633850|0,249.0,Parfait état - Reconditionné,16 Go,480Go,Dell,Noir,"15,6""",1366 x 768
,v1|356187637609|0,260.0,Ouvert (jamais utilisé),4 Go,128 Go,Lenovo,Gris,"15,6""",1366 x 768
,v1|305976941186|0,199.99,Occasion,16 Go,1 To,Acer,noire blanc,"17,3""",1600 x 900
,v1|286207414953|0,299.0,Très bon état - Reconditionné,8 Go,SSD 512,HP,Argent,"13.3""",1920 x 1080
,v1|196872086538|0,349.0,Occasion,16 Go,250 Go,Apple,Silver,"13.3""",2560 * 1600
,v1|146267578775|0,260.0,Occasion,8 Go,256 Go,Lenovo,Noir,"13""",1920 x 1080
,v1|135370745450|0,90.0,Occasion,6 Go,500 Go,Lenovo,Noir,"15,6""",1360 x 768
,v1|405419221835|0,125.0,Occasion,8 Go,1 To,HP,Gris,"17,3""",1600 x 900
,v1|356085617602|0,100.0,Occasion,4 Go,0,HP,Rouge,"11,6""",1366 x 768
,v1|226428378278|0,240.0,Occasion,24 Go,512 Go,Lenovo,Noir,"14""",1920 x 1080
,v1|116421215252|0,350.0,Occasion,32 Go,256 Go,Dell,Gris,"15,6""",1920 x 1080
,v1|356348053529|0,350.0,Neuf,12 Go,512 Go,Lenovo,Gris,"17,3""",1600 x 900 pixels
,v1|286161207978|0,139.0,Occasion,8 Go,320 Go,Lenovo,Noir,"15,6""",1366 x 768
,v1|405386415478|0,146.22,Occasion,8 Go,500 Go,Lenovo,Noir,"14 Zoll (35,6 cm)",1600 x 900
,v1|286180567600|0,149.0,Occasion,4 Go,512 Go,Dell,Noir,"12,5""",1366 x 768
,v1|116404956865|416699248651,160.69,Occasion,8 Go,256 Go,Panasonic,Argent,25.7cm,1920 x 1080
,v1|405377369689|0,150.0,Occasion,3 Gb DDR2,250 Go,Acer,Noir,"16""",1366 x 768
,v1|196870562703|0,219.0,État correct - Reconditionné,16Go,256Go SSD,Dell,Noir,"14""",1366 x 768
,v1|126786081541|0,300.0,Occasion,16 Go,256 Go,Google,Gris,"12""",2496 x 1664
,v1|394684850608|0,239.0,Occasion,8 Go,256 Go,PRIMEINFO,Gris,"15,6""",1366 x 768
,v1|225833485498|0,75.0,Occasion,4 Go,500 Go,Acer,Noir,"15,6""",1366 x 768
,v1|405291511145|0,100.0,Occasion,16 Go,320 Go,Dell,Gris,"14""",1920 x 1080
,v1|305902778281|0,429.0,Occasion,16 Go,512 Go,Dell,Noir,"17,3""",1920 x 1080
,v1|205095968495|0,380.0,Occasion,16 Go,256 Go,Dell,Gris,"14""",1920 x 1080
,v1|116161792458|0,330.0,Ouvert (jamais utilisé),8Go,256 Go,HP,Argent,"12,3""",2736 x 1824 pixels
,v1|167037343954|0,119.0,Occasion,8 Go,250 Go Kioxa NEUF,TOSHIBA SATELLITE C875-10T,Blanc,"17,3""",1600 x 900
,v1|335731361703|0,74.0,Occasion,6 Go,500 Go,HP,Marron,"15,6""",1366 x 768
,v1|335519519130|0,400.0,Occasion,32 Go,256 Go,Acer,Noir,"15,6""",1920 x 1440
,v1|395940333121|0,206.0,Occasion,8 Go,256 Go,Intel,Argenté,"14""",1920 x 1080
,v1|316042991760|0,150.0,Occasion,6 Go,1 To,Intel,Gris,"15,6""",1920 x 1080
,v1|166870625066|0,59.9,Occasion,8 Go,Aucun,Acer,Noir,"17,3""",1 600 x 900 (HD)
,v1|256563891324|0,140.0,Occasion,4 Go,500 Go,HP,Noir,"15,3""",1366 x 768
,v1|316045031131|0,249.0,Parfait état - Reconditionné,8 Go,256 Go,Dell,Noir,"14""",1920 x 1080
,v1|256563907510|0,235.0,Occasion,4 Go,500 Go,HP,Gris,"13,3""",1366 x 768
,v1|335731192211|0,140.0,Occasion,8 Go,240Go,Lenovo,Noir,"12,5""",1366 x 768
,v1|126801894436|0,150.0,Occasion,4 Go,512 Go,Acer,Noir,"16""",1366 x 768
,v1|146239149376|0,149.99,Neuf,4 Go,64 Go,Lenovo,Gris,"14""",1366 x 768
,v1|276775420012|0,400.0,Occasion,8 Go,256 Go,Dell,Noir,"14""",1920 x 1080
,v1|156532184214|0,554.61,Occasion,16384,512 Go,Dell,Noir,14 Zoll,1920 x 1080
,v1|276013749985|0,479.99,Occasion,16 Go,1 To,Lenovo,Noir,"14""",1920 x 1080
,v1|395305695984|0,500.0,Occasion,16 Go,512 Go,Acer,Noir,"17,3""",1920 x 1080
,v1|186782769717|0,90.0,Occasion,2 Go,250 Go,Acer,Bleu,"17,3""",1600x900
,v1|387432404002|0,350.0,Occasion,16 Go,1 To,ASUS,Multicouleur,"15,6""",1920 x 1080
,v1|316044954200|0,249.0,Parfait état - Reconditionné,8 Go,256 Go,Dell,Noir,"14""",1920 x 1080
,v1|126827410839|0,320.0,Occasion,16 Go,1 To,ASUS,noir et rouge,"17,3""",1920 x 1080
,v1|315997601044|0,978.0,Neuf,16 Go,512 Go,Samsung,Argenté,"14""",2880 x 1800
,v1|126682825036|0,179.0,Occasion,8 Go,256 Go,Dell,Noir,"12,5""",1920 x 1280
,v1|394864419414|0,499.0,Neuf,8 Go,512 Go,Lenovo,Noir,"15,6""",1920 x 1280
,v1|126682825156|0,95.95,Occasion,8 Go,128 Go,Dell,Noir,"14""",1366 x 768
,v1|356357749677|0,120.0,Occasion,4 Go,1000 Go,Packard Bell,Noir,"15,6""",1366 x 768
,v1|256563922744|0,149.99,Occasion,4 Go,320 Go,Lenovo,Noir,"15,7""",1366 x 768
,v1|196892064247|0,170.0,Occasion,8 Go,256 Go,Dell,Noir,"15,6""",1366 x 768
,v1|146187815359|0,799.0,Occasion,16 Go,512 Go,HP,Noir,"15,6""",1920 x 1080
,v1|176738100797|0,149.0,Occasion,8 Go,1 To,Acer,Noir,"17,3""",1600 x 900
,v1|135387215449|0,249.0,Occasion,8 Go,256 Go,Microsoft,Noir,"13,5""",2256 x 1504
,v1|256558079675|0,99.0,Neuf,4 Go,240Go,Lenovo,Noir,"12,1""",1366 x 768
,v1|326373488192|0,75.0,Occasion,2 Go,160 Go,Apple,Blanc,"13,3""",1280 x 800
,v1|355826698999|0,419.0,Occasion,16 Go,500 Go,HP,Gris,"15,6""",1920 x 1080
,v1|365289845154|0,159.99,Occasion,8 Go,512 Go,Fujitsu,Noir,"15,6""",1366 x 768
,v1|235396336488|0,65.0,Occasion,4 Go,500 Go,Packard Bell,Noir,"15,6""",1360 x 768
,v1|256753011517|0,1560.36,Neuf,8 Go,256 Go,Apple,"Starlight, Silver, Space Grey, Midnight",13 in,2560 x 1600
,v1|285664159849|0,399.9,Occasion,16 Go,256 Go,Dell,Gris,"13,3""",1920 x 1080
,v1|196861270468|0,260.0,Occasion,8 Go,256 Go,Dell,Gris,"14""",1920 x 1080
,v1|186645471494|0,209.0,Occasion,8 Go,256,HP,Noir,"15,6""",nn
